source_wordpress_id,source_surecart_product_id,slug,official_product_name,currency,current_price,sale_price,is_on_sale,collections,source_url,image_urls,short_description,full_description,ingredients,allergens,nutritional_information,shelf_life,storage_instructions,usage_instructions,primary_packaging,weight_format,certifications_dietary_claims,organoleptic_characteristics,source_stock_enabled,source_available_stock,source_allow_out_of_stock_purchases,source_shipping_enabled,source_last_modified,audit_date
3032,802ab1b2-d25f-42b1-9670-217762d8df8d,ragu-vegano,Ragù vegano con soia 180 gr,EUR,4.26,,false,Sughi,https://ugolinigourmet.it/prodotto/ragu-vegano/,https://ugolinigourmet.it/wp-content/uploads/2023/01/8862-ragu-vegano-ugolini-gourmet-4.jpg | https://ugolinigourmet.it/wp-content/uploads/2023/01/8862-ragu-vegano-ugolini-gourmet-3.jpg | https://ugolinigourmet.it/wp-content/uploads/2023/01/8862-ragu-vegano-ugolini-gourmet-2.jpg | https://ugolinigourmet.it/wp-content/uploads/2023/01/8862-ragu-vegano-ugolini-gourmet-1.jpg,"Il ragù vegano con la soia è l’alternativa vegana e vegetariana al classico ragù alla bolognese. Abbiamo creato questa ricetta per chi non vuole mangiare carne, con l’intenzione di fornire loro un prodotto gustoso che non ha nulla da invidiare al classico ragù fatto con carne. Beh, lo facciamo con pura passata di pomodoro italiano, verdure e soia. Sarà quasi “impossibile” distinguere la ricetta originale da quella vegana. Così puoi cucinare una buona pasta per tutti i tuoi amici, vegani e non vegani. Provare per credere!","Il ragù vegano con la soia è l’alternativa vegana e vegetariana al classico ragù alla bolognese. Abbiamo creato questa ricetta per chi non vuole mangiare carne, con l’intenzione di fornire loro un prodotto gustoso che non ha nulla da invidiare al classico ragù fatto con carne. Beh, lo facciamo con pura passata di pomodoro italiano, verdure e soia. Sarà quasi “impossibile” distinguere la ricetta originale da quella vegana. Così puoi cucinare una buona pasta per tutti i tuoi amici, vegani e non vegani. Provare per credere!","Polpa di pomodoro italiano 58%, soia reidratata 25% (acqua, proteine della soia 30%), olio extravergine di oliva, carote, cipolla, sedano, sale, zucchero, erbe aromatiche, spezie, acidificante: acido citrico. Può contenere tracce di glutine. Il prodotto non contiene OGM.","Contiene: soia, sedano. Può contenere tracce di glutine.","Energia: 262 kJ / 63 kcal
Grassi: 3,0 gr di cui acidi grassi saturi 0,5 gr
Carboidrati: 3,4 gr di cui zuccheri 3,0 gr
Proteine: 4,3 gr
Sale: 1,4 gr",Da consumare entro 24 mesi. Shelf life garantita: 3/4 (18 mesi).,,"Tal quale, pronto all’uso.",Vaso vetro + capsula in banda stagnata.,180 gr,vegano | non contiene OGM,"Consistenza: cremosa
Colore: rosso tendente all’arancione
Odore: tipico della polpa di pomodoro e della soia
Sapore: tipico della polpa di pomodoro e della soia",true,0,false,true,2024-11-12T05:37:12,2026-08-24
3009,5d5f4f2e-9b93-4b5d-a1d2-033ef051300d,bruschetta-piccantina,"Bruschetta piccantina, salsa di pomodoro piccante senza glutine 180 gr",EUR,4.02,,false,Sughi,https://ugolinigourmet.it/prodotto/bruschetta-piccantina/,https://ugolinigourmet.it/wp-content/uploads/2023/01/8756-bruschetta-piccantina-ugolini-gourmet-1.jpg | https://ugolinigourmet.it/wp-content/uploads/2023/01/8756-bruschetta-piccantina-ugolini-gourmet-2.jpg | https://ugolinigourmet.it/wp-content/uploads/2023/01/8756-bruschetta-piccantina-ugolini-gourmet-3.jpg | https://ugolinigourmet.it/wp-content/uploads/2023/01/8756-bruschetta-piccantina-ugolini-gourmet-4.jpg,"La nostra Bruschetta Piccantina è una salsa di pomodoro dal tocco piccante, ideale per arricchire i tuoi momenti di convivialità con un sapore indimenticabile. Perfetta come accompagnamento per patatine fritte o per guarnire deliziosi crostini di pane durante un gustoso aperitivo, questa salsa si presta anche perfettamente per essere servita con una bourguignonne, da abbinare a carne alla griglia o per aggiungere sapore alla preparazione di hamburger.","La nostra Bruschetta Piccantina è una salsa di pomodoro dal tocco piccante, ideale per arricchire i tuoi momenti di convivialità con un sapore indimenticabile. Perfetta come accompagnamento per patatine fritte o per guarnire deliziosi crostini di pane durante un gustoso aperitivo, questa salsa si presta anche perfettamente per essere servita con una bourguignonne, da abbinare a carne alla griglia o per aggiungere sapore alla preparazione di hamburger.","Concentrato di pomodoro (50%), olio di semi di girasole, prezzemolo, aceto di vino, acciughe, olio extravergine di oliva, sale, peperoncino (0,2%), aglio. Il prodotto non contiene OGM.",Contiene: pesce. Può contenere tracce di frutta a guscio e latte. Senza Glutine.,"Energia: 1283 kJ / 310 kcal
Grassi: 28 gr di cui acidi grassi saturi 3,0 gr
Carboidrati: 10 gr di cui zuccheri 6,8 gr
Proteine: 3,3 gr
Sale: 3,6 gr",Da consumare entro 24 mesi. Shelf life garantita: 3/4 (18 mesi).,,"Tal quale, pronto all’uso.",Vaso vetro + capsula in banda stagnata.,180 gr,senza glutine | non contiene OGM,"Consistenza: cremosa
Colore: rosso scuro
Odore: tipico del concentrato di pomodoro
Sapore: tipico del pomodoro, leggermente piccante",true,155,false,true,2025-11-25T13:03:50,2026-08-24
3033,d3f3f2e0-4f3c-4c4b-ab77-fa02ea8da38d,salsa-tartufata,"Salsa tartufata, salsa al tartufo nero senza glutine 180 gr",EUR,5.4,,false,Salse con tartufo,https://ugolinigourmet.it/prodotto/salsa-tartufata/,https://ugolinigourmet.it/wp-content/uploads/2023/01/9272-salsa-al-tartufo-nero-ugolini-gourmet-1-scaled.jpg | https://ugolinigourmet.it/wp-content/uploads/2023/01/9272-salsa-al-tartufo-nero-ugolini-gourmet-2-scaled.jpg,"Se vuoi mostrare l’eleganza nei tuoi piatti senza rinunciare alla naturalezza e al sapore delle cose semplici prova la nostra Salsa Tartufata al Tartufo Nero. Quella preparazione è la regina dei sughi “pronti”. Si prepara con Tartufo Nero ed è ideale da abbinare a piatti semplici come la pasta all’uovo, uova fritte e carne cruda. Un connubio ideale di gusto e precisione.","Se vuoi mostrare l’eleganza nei tuoi piatti senza rinunciare alla naturalezza e al sapore delle cose semplici prova la nostra Salsa Tartufata al Tartufo Nero. Quella preparazione è la regina dei sughi “pronti”. Si prepara con Tartufo Nero ed è ideale da abbinare a piatti semplici come la pasta all’uovo, uova fritte e carne cruda. Un connubio ideale di gusto e precisione.","Funghi champignon (Agaricus bisporus) 50%, olio di semi di girasole, panna, cipolla, tartufo d’estate 1% (Tuber aestivum Vitt.), sale, olio extravergine di oliva, aglio, prezzemolo, pepe, acidificante: acido lattico; aroma. Il prodotto non contiene OGM.",Contiene: latte. Può contenere tracce di frutta a guscio. Senza Glutine.,"Energia: 1193 kJ / 290 kcal
Grassi: 30 gr di cui acidi grassi saturi 4,6 gr
Carboidrati: 1,7 gr di cui zuccheri 1,1 gr
Proteine: 2,5 gr
Sale: 1,7 gr",Da consumare entro 24 mesi. Shelf life garantita: 3/4 (18 mesi).,,"Tal quale, pronto all’uso.",Vaso vetro + capsula in banda stagnata.,180 gr,senza glutine | non contiene OGM,"Consistenza: cremosa
Colore: marrone chiaro
Odore: tipico dei funghi e del tartufo
Sapore: tipico dei funghi e del tartufo",true,17,false,true,2024-11-12T05:37:13,2026-08-24
3010,b1639e3d-530f-4847-9fd8-d1613244b9a5,confit-cipolle-rosse,Confit di cipolle rosse all’aceto balsamico di Modena IGP senza glutine 220 gr,EUR,5.94,,false,Marmellate,https://ugolinigourmet.it/prodotto/confit-cipolle-rosse/,https://ugolinigourmet.it/wp-content/uploads/2022/05/confit-cipolle-rosse-ugolini-gourmet-14.jpg | https://ugolinigourmet.it/wp-content/uploads/2023/01/8763-confit-cipolle-rosse-ugolini-gourmet-1.jpg | https://ugolinigourmet.it/wp-content/uploads/2023/01/8763-confit-cipolle-rosse-ugolini-gourmet-2.jpg | https://ugolinigourmet.it/wp-content/uploads/2023/01/8763-confit-cipolle-rosse-ugolini-gourmet-3.jpg | https://ugolinigourmet.it/wp-content/uploads/2023/01/8763-confit-cipolle-rosse-ugolini-gourmet-4.jpg | https://ugolinigourmet.it/wp-content/uploads/2023/01/8763-confit-cipolle-rosse-ugolini-gourmet-5.jpg | https://ugolinigourmet.it/wp-content/uploads/2023/01/8763-confit-cipolle-rosse-ugolini-gourmet-6.jpg | https://ugolinigourmet.it/wp-content/uploads/2023/01/8763-confit-cipolle-rosse-ugolini-gourmet-7.jpg | https://ugolinigourmet.it/wp-content/uploads/2023/01/8763-confit-cipolle-rosse-ugolini-gourmet-8.jpg | https://ugolinigourmet.it/wp-content/uploads/2023/01/8763-confit-cipolle-rosse-ugolini-gourmet-9.jpg | https://ugolinigourmet.it/wp-content/uploads/2023/01/8763-confit-cipolle-rosse-ugolini-gourmet-10.jpg | https://ugolinigourmet.it/wp-content/uploads/2023/01/8763-confit-cipolle-rosse-ugolini-gourmet-11.jpg | https://ugolinigourmet.it/wp-content/uploads/2023/01/8763-confit-cipolle-rosse-ugolini-gourmet-12.jpg | https://ugolinigourmet.it/wp-content/uploads/2023/01/8763-confit-cipolle-rosse-ugolini-gourmet-13.jpg | https://ugolinigourmet.it/wp-content/uploads/2023/01/8763-confit-cipolle-rosse-ugolini-gourmet-14.jpg | https://ugolinigourmet.it/wp-content/uploads/2023/01/8763-confit-cipolle-rosse-ugolini-gourmet-15.jpg,"La confit di cipolle rosse all’aceto balsamico di Modena IGP è una marmellata particolare caratterizzata da note agrodolci e da un intenso colore bruno-violaceo. Questa salsa è ideale con formaggio, glorifica il sapore, senza sopraffare al gusto, o in abbinamento a vari tipi di carne. Un consiglio: provatelo con il “Lardo di Colonnata” o con uno speciale “Prosciutto crudo di Parma”. È una rarità dal gusto unico, una delizia da servire a tavola.","La confit di cipolle rosse all’aceto balsamico di Modena IGP è una marmellata particolare caratterizzata da note agrodolci e da un intenso colore bruno-violaceo. Questa salsa è ideale con formaggio, glorifica il sapore, senza sopraffare al gusto, o in abbinamento a vari tipi di carne. Un consiglio: provatelo con il “Lardo di Colonnata” o con uno speciale “Prosciutto crudo di Parma”. È una rarità dal gusto unico, una delizia da servire a tavola.","Cipolle rosse 60%, zucchero, vino Barbera d’Alba DOC, olio extra vergine di oliva, “aceto balsamico di Modena I.G.P.” 3% (mosto d’uva cotto, aceto di vino), sale. Può contenere tracce di sedano. Il prodotto non contiene OGM.",Può contenere tracce di sedano. Senza Glutine.,"Energia: 1076 kJ / 254 kcal
Grassi: 0,4 gr di cui acidi grassi saturi 0,1 gr
Carboidrati: 59 gr di cui zuccheri 58 gr
Proteine: 1,9 gr
Sale: 0,02 gr",Da consumare entro 24 mesi.,,"Tal quale, pronto all’uso.",Vaso vetro + capsula in banda stagnata.,220 gr,senza glutine | IGP | non contiene OGM,"Consistenza: cremosa con pezzi di cipolla
Colore: viola scuro
Odore: tipico delle cipolle rosse
Sapore: tipico delle cipolle rosse",true,231,false,true,2024-11-12T05:37:05,2026-08-24
3034,2c1b177e-e7db-497b-b54b-ffb651a0a8f9,sugo-arrabbiata,"Sugo all’arrabbiata, salsa di polpa di pomodoro senza glutine 180 gr",EUR,3.15,,false,Sughi,https://ugolinigourmet.it/prodotto/sugo-arrabbiata/,https://ugolinigourmet.it/wp-content/uploads/2023/01/8848-sugo-allarrabbiata-ugolini-gourmet-1.jpg | https://ugolinigourmet.it/wp-content/uploads/2023/01/8848-sugo-allarrabbiata-ugolini-gourmet-2.jpg | https://ugolinigourmet.it/wp-content/uploads/2023/01/8848-sugo-allarrabbiata-ugolini-gourmet-3.jpg | https://ugolinigourmet.it/wp-content/uploads/2023/01/8848-sugo-allarrabbiata-ugolini-gourmet-4-scaled.jpg | https://ugolinigourmet.it/wp-content/uploads/2023/01/8848-sugo-allarrabbiata-ugolini-gourmet-5.jpg,"Il Sugo all’Arrabbiata è uno delle più famose e amate ricette della cucina romana. Pochi e semplici ingredienti per un condimento apprezzato in tutto il mondo. Prepariamo questa salsa utilizzando solo polpa di pomodoro italiana, olio extra vergine di oliva e una spolverata di peperoncino. Un piatto di penne con il nostro sugo all’arrabbiata è l’ideale per tutti gli eventi: ospiti inattesi, una pasta di mezzanotte o un pranzo al sacco dal mare.","Il Sugo all’Arrabbiata è uno delle più famose e amate ricette della cucina romana. Pochi e semplici ingredienti per un condimento apprezzato in tutto il mondo. Prepariamo questa salsa utilizzando solo polpa di pomodoro italiana, olio extra vergine di oliva e una spolverata di peperoncino. Un piatto di penne con il nostro sugo all’arrabbiata è l’ideale per tutti gli eventi: ospiti inattesi, una pasta di mezzanotte o un pranzo al sacco dal mare.","Polpa di pomodoro italiana (82%), olio extra vergine di oliva, cipolle, concentrato di pomodoro, sale, aglio, peperoncino (0,5%), pepe. Il prodotto non contiene OGM.",Può contenere tracce di frutta a guscio e latte. Senza Glutine.,"Energia: 489 kJ / 118 kcal
Grassi: 10 gr di cui acidi grassi saturi 1,4 gr
Carboidrati: 5,2 gr di cui zuccheri 3,7 gr
Proteine: 1,1 gr
Sale: 1,3 gr",Da consumare entro 24 mesi. Shelf life garantita: 3/4 (18 mesi).,,"Tal quale, pronto all’uso.",Vaso vetro + capsula in banda stagnata.,180 gr,senza glutine | non contiene OGM,"Consistenza: cremosa
Colore: rosso brillante
Odore: tipico della polpa di pomodoro
Sapore: tipico della polpa di pomodoro e del peperoncino",true,346,false,true,2024-11-12T05:37:13,2026-08-24
3011,5ef5a72f-2108-4db5-8cbb-26a68da000b9,crema-panna-tartufo-bianchetto,Crema a base di panna e tartufo bianchetto senza glutine 170 gr,EUR,5.1,,false,Salse con tartufo,https://ugolinigourmet.it/prodotto/crema-panna-tartufo-bianchetto/,https://ugolinigourmet.it/wp-content/uploads/2023/01/9265-crema-panna-tartufo-bianchetto-ugolini-gourmet-2-scaled.jpg | https://ugolinigourmet.it/wp-content/uploads/2023/01/9265-crema-panna-tartufo-bianchetto-ugolini-gourmet-1-scaled.jpg | https://ugolinigourmet.it/wp-content/uploads/2023/01/9265-crema-panna-tartufo-bianchetto-ugolini-gourmet-4-scaled.jpg | https://ugolinigourmet.it/wp-content/uploads/2023/01/9265-crema-panna-tartufo-bianchetto-ugolini-gourmet-3-scaled.jpg,"La Crema a base di panna e tartufo bianchetto è un perfetto mix di Parmigiano e tartufo. Un superbo gusto del più importante dei formaggi, arricchito del profumo di tartufo. Un ingrediente di alta qualità di la cucina italiana. Una ricetta semplice, ma preziosa, cremoso e ideale per essere utilizzato in diverse preparazioni: sugo per pasta o condimento per riso, farcitura per pasta ripiena, perfetta da spalmare sul pane arrostito. Un tocco intelligente ed elegante sulla tua tavola!","La Crema a base di panna e tartufo bianchetto è un perfetto mix di Parmigiano e tartufo. Un superbo gusto del più importante dei formaggi, arricchito del profumo di tartufo. Un ingrediente di alta qualità di la cucina italiana. Una ricetta semplice, ma preziosa, cremoso e ideale per essere utilizzato in diverse preparazioni: sugo per pasta o condimento per riso, farcitura per pasta ripiena, perfetta da spalmare sul pane arrostito. Un tocco intelligente ed elegante sulla tua tavola!","Funghi porcini (Boletus edulis e rel. gruppo), olio di semi di girasole, funghi champignon (Agaricus Bisporus), panna, formaggio Parmigiano Reggiano DOP (latte, sale, caglio) (5%), cipolla, tartufo d’estate (Tuber aestivum Vitt.) 1%, sale, olio extravergine di oliva, aglio, prezzemolo, pepe, acidificante: acido lattico; aroma. Il prodotto non contiene OGM.",Contiene: latte. Può contenere frutta a guscio. Senza Glutine.,"Energia: 1216 kJ / 295 kcal
Grassi: 30 gr di cui acidi grassi saturi 5,4 gr
Carboidrati: 1,6 gr di cui zuccheri 1,0 gr
Proteine: 4,0 gr
Sale: 1,7 gr",Da consumare entro 24 mesi. Shelf life garantita: 3/4 (18 mesi).,,"Tal quale, pronto all’uso.",Vaso vetro + capsula in banda stagnata.,170 gr,senza glutine | non contiene OGM,"Consistenza: cremosa
Colore: marrone chiaro
Odore: tipico dei funghi e del tartufo
Sapore: tipico dei funghi e del tartufo",true,0,false,true,2024-11-12T05:37:05,2026-08-24
3035,f08bf086-ffc4-4d6a-946d-c3ccf09f9154,sugo-tartufo-nero,Sugo al tartufo nero senza glutine 180 gr,EUR,3.54,,false,Salse con tartufo | Sughi,https://ugolinigourmet.it/prodotto/sugo-tartufo-nero/,https://ugolinigourmet.it/wp-content/uploads/2023/01/8831-sugo-tartufo-nero-ugolini-gourmet-1.jpg | https://ugolinigourmet.it/wp-content/uploads/2023/01/8831-sugo-tartufo-nero-ugolini-gourmet-2.jpg | https://ugolinigourmet.it/wp-content/uploads/2023/01/8831-sugo-tartufo-nero-ugolini-gourmet-3.jpg | https://ugolinigourmet.it/wp-content/uploads/2023/01/8831-sugo-tartufo-nero-ugolini-gourmet-4.jpg | https://ugolinigourmet.it/wp-content/uploads/2023/01/8831-sugo-tartufo-nero-ugolini-gourmet-5.jpg | https://ugolinigourmet.it/wp-content/uploads/2023/01/8831-sugo-tartufo-nero-ugolini-gourmet-6.jpg | https://ugolinigourmet.it/wp-content/uploads/2023/01/8831-sugo-tartufo-nero-ugolini-gourmet-7.jpg,"Il nostro Sugo al tartufo nero è una salsa versatile, in grado di vestire con eleganza ogni preparazione culinaria. Perfetto per condire la pasta, come le tagliatelle o gli spaghetti, ma anche ideale per esaltare il sapore di carni, pesci e verdure. Una salsa così prelibata è perfetta anche per creare piatti raffinati e sorprendenti, come bruschette o crostini, da gustare in compagnia di amici e famiglia, regalando momenti di condivisione e gioia.","Il nostro Sugo al tartufo nero è una salsa versatile, in grado di vestire con eleganza ogni preparazione culinaria. Perfetto per condire la pasta, come le tagliatelle o gli spaghetti, ma anche ideale per esaltare il sapore di carni, pesci e verdure. Una salsa così prelibata è perfetta anche per creare piatti raffinati e sorprendenti, come bruschette o crostini, da gustare in compagnia di amici e famiglia, regalando momenti di condivisione e gioia.

Lasciati conquistare dalla magia del tartufo nero con il nostro Sugo, una salsa unica nel suo genere, preparata con passione e dedizione per portare in tavola una festa di sapori e profumi. Con il nostro Sugo al tartufo nero, ogni piatto diventa un’esperienza culinaria indimenticabile, che ti porterà alla scoperta di nuovi gusti e nuove emozioni.","Polpa di pomodoro italiana (76%), olio extravergine di oliva, cipolla, concentrato di pomodoro, sale, tartufo d’estate 0,5% (Tuber aestivum Vitt), aglio, pepe, aroma. Il prodotto non contiene OGM.",Può contenere tracce di frutta a guscio e latte. Senza Glutine.,"Energia: 494 kJ / 119 kcal
Grassi: 10 gr di cui acidi grassi saturi 1,5 gr
Carboidrati: 5,6 gr di cui zuccheri 3,8 gr
Proteine: 1,0 gr
Sale: 0,78 gr",Da consumare entro 24 mesi. Shelf life garantita: 3/4 (18 mesi).,,"Tal quale, pronto all’uso.",Vaso vetro + capsula in banda stagnata.,180 gr,senza glutine | non contiene OGM,"Consistenza: cremosa
Colore: rosso brillante
Odore: tipico della polpa di pomodoro e del tartufo
Sapore: tipico della polpa di pomodoro e del tartufo",true,361,false,true,2024-11-12T05:37:13,2026-08-24
3012,9963b28c-e461-4573-92b4-e800baf26c6f,crema-funghi-porcini,Crema ai funghi porcini e champignon senza glutine 180 gr,EUR,4.68,,false,Salse ai funghi,https://ugolinigourmet.it/prodotto/crema-funghi-porcini/,https://ugolinigourmet.it/wp-content/uploads/2023/01/8770-crema-ai-funghi-ugolini-gourmet-1.jpg,"La Crema ai funghi porcini e champignon è una salsa cremosa dalla consistenza gustosa, preparata con più oltre il 50% di funghi divisi tra Porcini e Champignon. È una salsa vegetariana perfetta, preparata con i migliori ingredienti e può essere usata per i risotti, con la pasta fresca, spalmata sul pane o come base per un ripieno. Può essere usata pura o diluita con panna o latte.","La Crema ai funghi porcini e champignon è una salsa cremosa dalla consistenza gustosa, preparata con più oltre il 50% di funghi divisi tra Porcini e Champignon. È una salsa vegetariana perfetta, preparata con i migliori ingredienti e può essere usata per i risotti, con la pasta fresca, spalmata sul pane o come base per un ripieno. Può essere usata pura o diluita con panna o latte.","Funghi porcini (Boletus edulis e rel. gruppo) 33%, olio di semi di girasole, funghi champignon (Agaricus bisporus) 18%, panna, cipolla, olio extravergine di oliva, sale,prezzemolo, aglio, pepe, acidificante: acido lattico; aroma. Il prodotto non contiene OGM.",Contiene: latte. Può contenere tracce di frutta a guscio. Senza Glutine.,"Energia: 1156 kJ / 281 kcal
Grassi: 29 gr di cui acidi grassi saturi 4,6 gr
Carboidrati: 1,7 gr di cui zuccheri 1,1 gr
Proteine: 2,5 gr
Sale: 1,7 gr",Da consumare entro 24 mesi. Shelf life garantita: 3/4 (18 mesi).,,"Tal quale, pronto all’uso.",Vaso vetro + capsula in banda stagnata.,180 gr,senza glutine | non contiene OGM,"Consistenza: cremosa
Colore: marrone chiaro
Odore: tipico dei funghi
Sapore: tipico dei funghi",true,148,false,true,2024-11-12T05:37:06,2026-08-24
3036,dfda95ee-ecba-4f5e-ad80-95e56332deab,tartufo-estivo-intero,Tartufo estivo intero 25 gr,EUR,15,,false,Salse con tartufo,https://ugolinigourmet.it/prodotto/tartufo-estivo-intero/,https://ugolinigourmet.it/wp-content/uploads/2023/01/9302-tartufo-estivo-intero-ugolini-gourmet-1-scaled.jpg | https://ugolinigourmet.it/wp-content/uploads/2023/01/9302-tartufo-estivo-intero-ugolini-gourmet-2-scaled.jpg,"Il Tartufo Estivo Intero da 25 grammi rappresenta una vera e propria gemma culinaria, pronta a portare un tocco di lusso e raffinatezza alle tue preparazioni. Questo pregiato tartufo estivo (Tuber aestivum Vitt.) è stato raccolto con cura e selezionato per offrirti un’esperienza gastronomica straordinaria.","Il Tartufo Estivo Intero da 25 grammi rappresenta una vera e propria gemma culinaria, pronta a portare un tocco di lusso e raffinatezza alle tue preparazioni. Questo pregiato tartufo estivo (Tuber aestivum Vitt.) è stato raccolto con cura e selezionato per offrirti un’esperienza gastronomica straordinaria.

Ogni tartufo è stato immerso in acqua e leggermente insaporito con una nota di sale e aroma, creando un equilibrio perfetto che enfatizza le caratteristiche naturali del tartufo stesso. Questo procedimento, eseguito con grande attenzione, fa sì che ogni tartufo mantenga intatto il suo profumo inconfondibile e il sapore aromatico che lo rendono così prelibato.

La versatilità di questo Tartufo Estivo Intero è davvero eccezionale. È l’ingrediente perfetto per rifinire e impreziosire una vasta gamma di pietanze e antipasti. Puoi grattugiarlo sottilmente su pasta appena cotta, risotti o uova strapazzate per aggiungere un tocco di eleganza e intensità di gusto. Inoltre, il liquido di governo presente all’interno del vasetto è altrettanto prezioso, poiché cattura l’essenza del tartufo e può essere utilizzato come condimento per amplificare ulteriormente il sapore dei tuoi piatti.","Tartufo estivo (Tuber aestivum Vitt.), acqua, sale, aroma.","Il prodotto non contiene sostanze allergeniche o prodotti contenenti tali componenti. Durante la raccolta, il trasferimento e l’elaborazione, il prodotto non è soggetto ad alcun rischio di contaminazione incrociata. Senza Glutine.","Energia: 333 kJ / 80 kcal
Grassi: 1,3 gr di cui acidi grassi saturi 0,2 gr
Carboidrati: 6,4 gr di cui zuccheri 0,5 gr
Fibre: 8,4 gr
Proteine: 6,4 gr
Sale: 0,45 gr",24 mesi.,Temperatura ambiente. Una volta aperto conservare a +2° / +4° e consumare entro 6 giorni.,"Ideale per rifinire pietanze e antipasti. Usare come condimento anche il liquido di governo, presente all’interno del vasetto.",Vaso vetro + capsula in banda stagnata.,25 gr,senza glutine,"Aspetto: solido
Colore: marrone
Odore: tipico
Gusto: naturale, tipico e piacevole
Stato: solido / liquido",true,0,false,true,2024-11-12T05:37:13,2026-08-24
3015,8dec040d-d64b-4b21-bf26-4a0fc887e43b,crema-tartufo-nero,Crema al tartufo nero senza glutine 180 gr,EUR,5.4,,false,Salse ai funghi | Salse con tartufo,https://ugolinigourmet.it/prodotto/crema-tartufo-nero/,https://ugolinigourmet.it/wp-content/uploads/2023/01/8787-crema-al-tartufo-nero-ugolini-gourmet-1.jpg,"La Crema al tartufo nero arricchisce le tavole con il gusto e il profumo di tartufo. Una semplice, ma preziosa ricetta, cremosa e ideale per essere utilizzata in diverse preparazioni: come sugo per la pasta o come condimento per il riso, come ripieno per la pasta ripiena, perfetto da condire spalmato su pane arrostito.","La Crema al tartufo nero arricchisce le tavole con il gusto e il profumo di tartufo. Una semplice, ma preziosa ricetta, cremosa e ideale per essere utilizzata in diverse preparazioni: come sugo per la pasta o come condimento per il riso, come ripieno per la pasta ripiena, perfetto da condire spalmato su pane arrostito.","Funghi champignon (Agaricus bisporus) 50%, olio di semi di girasole, panna, cipolla, tartufo d’estate (Tuber aestivum Vitt.) 1%, sale, olio extravergine di oliva, aglio, prezzemolo, pepe, acidificante: acido lattico; aroma. Il prodotto non contiene OGM.",Contiene: latte. Può contenere tracce di frutta a guscio. Senza Glutine.,"Energia: 1193 kJ / 290 kcal
Grassi: 30 gr di cui acidi grassi saturi 4,6 gr
Carboidrati: 1,7 gr di cui zuccheri 1,1 gr
Proteine: 2,5 gr
Sale: 1,7 gr",Da consumare entro 24 mesi. Shelf life garantita: 3/4 (18 mesi).,,"Tal quale, pronto all’uso.",Vaso vetro + capsula in banda stagnata.,180 gr,senza glutine | non contiene OGM,Consistenza: cremosa Colore: marrone chiaro Odore: tipico dei funghi e del tartufo Sapore: tipico dei funghi e del tartufo,true,0,false,true,2024-11-12T05:37:07,2026-08-24
